Product1_ID,Product2_ID
56,388227
56,1695092
56,3119249
77,404327
77,752052
77,2806699
77,3586968
175,2307417
301,2631314
483,1940540
483,3194849
546,3367525
546,3610068
840,1928661
987,1931594
1575,2966467
1687,732921
1687,2377004
1925,1971340
1925,2451701
1925,2543051
1925,3088141
2114,392602
2114,2601319
2128,2869825
2198,1890567
2345,2253111
2345,2861740
2401,1940015
2408,607600
2408,2803017
2408,3234511
2408,3234672
2513,618716
2513,2495584
2513,3355457
3150,1976247
3304,2947315
3304,3050278
3570,897967
3962,542234
4039,1373988
4277,1067766
4277,1169217
4277,1324638
4578,181671
4578,2381323
5369,2234190
5369,2423715
6048,6062
6062,6055
6062,1069670
6867,3384913
6867,3550484
7000,178297
7000,3641939
7042,1488669
7077,1895887
7196,3512544
7196,3767533
7686,1469419
7777,484029
7952,702044
8407,793632
8442,1681351
8582,297262
8722,3543281
8883,2856602
8883,3396092
9086,1947260
9114,1669500
9205,891401
9205,1638938
9464,1190035
9464,1723722
9464,2959705
9464,3658669
9506,2103059
9751,1822485
9751,3143665
9905,2010582
9905,2293963
10087,1282694
10087,2326800
10087,2361779
10339,1406188
10416,528479
10416,1137626
10416,2989091
10416,3269665
10416,3353546
10458,488691
10458,3395238
10458,3787070
10654,663173
11417,1955457
11606,3257310
11648,3721088
11655,2072462
11865,108724
11998,239358
11998,1276660
11998,1279572
11998,1858276
11998,1994846
12257,2186912
12257,2295090
12516,796908
12516,1123290
12516,2772917
12901,1357167
13328,2631909
13713,1126741
13713,3315844
13825,2966691
13853,249830
13853,385364
13853,2865135
13853,3678234
14035,1272404
14602,11998
14602,1005837
14602,2275637
14630,768404
14833,1549499
14833,2001825
14833,3208030
14847,1550626
15015,2949142
15064,1570422
15064,2528890
16254,2763663
16254,3317069
16415,173705
16415,910994
16415,2219014
16415,2948869
16779,2506518
16884,1098839
16884,1937173
16884,3469326
17241,1906814
17290,2403905
17290,2633456
17290,2715293
17486,557858
17486,813897
17486,2483796
17535,504154
17535,929628
17535,1885758
17535,3272983
17808,2468004
17808,3743376
17843,3124205
17843,3234420
17843,3581669
18046,2483852
18053,2255904
18214,312753
18214,3359258
18284,679441
18284,3073406
18284,3326449
18298,2113475
18298,2236059
18298,3542231
18802,1336160
18921,778897
19439,3781603
19516,3220504
19698,3436475
20034,3484124
20769,105231
20769,2528204
20783,468433
21063,421953
21063,1044834
21280,2412557
21434,144781
21609,1859753
21609,2917523
21609,3304210
21609,3763067
22078,3255658
22141,548254
22141,1586291
22176,1122548
22519,3474905
22582,3436433
22750,485331
22750,1149778
22750,3299541
23548,683067
23548,1102899
23737,2916396
23989,3100230
24073,2530619
24073,3411310
24325,1557430
24990,1709918
25046,640388
25046,1082795
25046,1093939
25662,2194766
25662,3050404
25732,512659
26159,3271702
26159,3335822
26159,3725827
26229,474551
26362,578375
26362,991515
26362,1724926
26362,1906772
26362,3032239
26383,1704311
26383,1934576
26383,2595012
26383,3111815
26383,3280144
26404,3384745
26691,48972
26691,1923250
26796,2959418
27363,1258460
27580,1840349
27580,3410834
27629,1859046
27629,3301347
27629,3348653
27930,3733233
