Product_ID,Customer_ID,Customer_rank
1010450,17,
101465,17,
1016988,17,
102375,17,
1025353,17,
1047928,17,
1048677,17,
1049510,17,
1049699,689041,
105133,17,
1074437,18174,
1110109,635057,
1112223,2601,
1114155,2203632,
1121386,17,
1134756,17,
1135981,100718,
1135981,159367,
1135981,1622576,
1135981,1659120,
1135981,1659489,
1135981,1659776,
1135981,1659974,
1135981,1659988,
1135981,1660264,
1135981,1660454,
1135981,184777,
1135981,397018,
1135981,76257,
1142946,17,
1166445,31109,
1176693,17,
1176889,2318180,
1205540,17,
1206618,17,
1216138,17,
1216138,500125,
1226351,17,
1235136,2431371,
1241611,416208,
125776,17,
125776,178529,
1266328,139178,
126819,17,
1268918,17,
1312367,57987,
131768,283,
1320130,17,
1330455,17,
1336160,7351,
1347556,17,
137480,283,
138215,17,
13909,17,
1395478,2749447,
1415526,1029306,
1436232,17,
1458639,306984,
1458695,17,
1461250,283,
1475390,17,
1484056,61869,
1489264,283,
1508052,17,
1508626,2559628,
1538705,283,
1545712,48632,
156121,17,
1566341,17,
1566831,17,
1567244,17,
1570688,17,
1583512,17,
1590764,17,
160307,17,
1606423,3121001,
1617483,17,
1621291,17,
1625323,17,
1628851,17,
1634150,3179015,
1635522,11188,
1635522,1133044,
1635522,118215,
1635522,135085,
1635522,162989,
1635522,1970039,
1635522,2040949,
1635522,2370848,
1635522,26496,
1635522,295366,
1635522,3149698,
1635522,3149854,
1635522,3149874,
1635522,3149901,
1635522,3150046,
1635522,3150354,
1635522,3150409,
1635522,3150410,
1635522,3150836,
1635522,3150859,
1635522,3150916,
1635522,3151249,
1635522,425,
1635522,523542,
1635522,74463,
1635522,75113,
1635522,762553,
1635522,90697,
1639001,17,
1645245,17,
1647590,17,
16555,1670,
1660981,283,
1667505,2215391,
1667624,17,
1671726,17,
1681393,17,
1694182,17,
1698802,203093,
1705158,17,
171059,283,
1736665,17,
1742286,17,
1742349,17,
1777706,17,
1781395,17,
178472,351071,
1798125,3487625,
1814498,2621967,
1866452,17,
1880424,17,
1889139,17,
1891624,17,
1896363,150519,
1901368,29357,
1902208,17,
1935654,17,
1941800,17,
194824,17,
1948856,17,
1951845,403158,
1957774,2088269,
1961568,17,
1979187,57950,
1985046,17,
1994244,283,
1998514,17,
2012094,657047,
2019941,17,
2045652,17,
2046422,17,
2050062,34789,
2050790,17,
206801,1928,
2072,2943,
2072,3001,
2072,3044,
2072,3071,
2072,3092,
2072,3146,
2072,3164,
2072,3196,
2072,3298,
2072,3370,
2072,3425,
2072,3503,
2072,3793,
2072,3821,
2072,3847,
2072,3864,
2072,4027,
2072,4186,
2072,4276,
2072,4509,
2072,4600,
2072,4640,
2072,4675,
2072,5008,
2072,5157,
2072,5175,
2072,5269,
2072,5284,
2072,5387,
2072,5574,
2072,5576,
2072,5640,
2072,5730,
2072,5753,
2072,5849,
2072,5891,
2073645,283,
2083319,17,
2099391,17,
21028,45027,
2143337,4165606,
2171211,17,
2183181,17,
219968,17,
2214478,17,
2219077,17,
2229507,283,
2233798,17,
2240028,17,
2242296,4327964,
2242471,17,
2244564,17,
2249450,17,
2254777,2345985,
2262232,17,
2296966,3720506,
2324602,283,
232715,17,
2327150,23084,
2336866,17,
2373714,261974,
2395379,17,
2409022,17,
2409288,17,
2411647,774858,
2412837,17,
2414146,17,
2441950,17,
2450952,17,
2484475,17,
2511782,17,
2511943,34605,
2547230,283,
2547839,619409,
256284,17,
2575804,17,
2577176,99938,
2595369,17,
2615501,17,
2628976,17,
2632007,17,
2638006,114568,
2638006,123149,
2638006,1246,
2638006,144774,
2638006,167074,
2638006,22096,
2638006,242601,
2638006,3423583,
2638006,388720,
2638006,429565,
2638006,4493,
2638006,4869,
2638006,4985,
2638006,5006006,
2638006,5006188,
2638006,5006660,
2638006,5006714,
2638006,5006759,
2638006,5006786,
2638006,5752,
2638006,5831,
2638006,658473,
2638258,17,
2645538,17,
2667854,17,
2668526,17,
2678585,5073255,
2701727,17,
2702987,17,
2709826,17,
2718359,17,
2725219,2128844,
2733423,17,
2752596,177123,
275779,17,
2769928,2,
2804543,17,
2844898,17,
2855902,17,
2869153,5425730,
2878246,283,
2880066,17,
2883258,17,
2891273,17,
2898035,17,
2915920,59092,
2940042,17,
2951277,2803761,
2962666,4102321,
2972935,4674179,
3003245,17,
3016181,5723042,
3030216,283,
3033730,283,
3034717,17,
3037762,1401317,
3037762,175401,
3037762,176421,
3037762,22931,
3037762,2464721,
3037762,2464831,
3037762,2464878,
3037762,2465139,
3037762,2465214,
3037762,2465275,
3037762,2465404,
3037762,2465430,
3037762,2465606,
3037762,330156,
3037762,3962,
3037762,479447,
3037762,56643,
3037762,59701,
3037762,660814,
3037762,86224,
30415,283,
3048598,1829,
3073392,173017,
307734,17,
3146591,20811,
3166576,17,
3197012,4904082,
3197180,17,
3200869,16441,
3226286,17,
3252410,17,
325297,17,
3261636,283,
3264156,17,
328195,17,
3299674,17,
3300409,283,
3304210,701189,
3311840,283,
3313310,17,
331597,11670,
3332847,17,
3349829,3054451,
3404940,17,
3413410,17,
344848,17,
3475360,17,
3489115,17,
3505684,17,
3509891,61996,
3578757,17,
3603404,17,
3623683,17,
3628303,15398,
3636871,17,
3638733,17,
3639174,172018,
3639419,17,
3642674,111677,
3642674,12544,
3642674,172903,
3642674,18405,
3642674,18887,
3642674,29380,
3642674,361143,
3642674,415657,
3642674,415715,
3642674,415746,
3642674,416136,
3642674,416636,
3642674,416917,
3642674,7262,
3642674,78537,
3648008,17,
3657913,17,
3664486,17,
3667062,613426,
3668518,17,
3676330,17,
3695328,17,
3704029,17,
3704743,17,
3725883,17,
3753015,17,
3757068,17,
3760295,17,
3764215,17,
376964,17,
3778369,7269455,
378084,17,
3783815,3322144,
3809834,109876,
3809834,1145120,
3809834,1145288,
3809834,1145646,
3809834,1146109,
3809834,1146445,
3809834,118526,
3809834,176353,
3809834,242693,
3809834,306329,
3809834,3068042,
3809834,321106,
3809834,34057,
3809834,48683,
3809834,57716,
3809834,688022,
3809834,689582,
3809834,74864,
3809834,78376,
3811304,22002,
3811815,17,
3811857,84159,
3815973,82900,
3819459,9459,
3820222,17,
3821300,17,
3821377,17,
3823400,17,
3823911,17,
3824534,283,
3825472,283,
3825493,17,
3828692,7224,
3831170,6268,
3832612,5073874,
3833466,761349,
3836385,1819211,
400757,2032,
402780,319737,
411250,17,
417802,829458,
418964,17,
473123,17,
486213,969734,
510363,17,
510979,17,
517776,17,
521724,800729,
524853,17,
527695,17,
538020,17,
540169,90298,
544488,17,
546861,1084053,
580979,17,
603225,17,
607600,53965,
609168,17,
618933,283,
634431,17,
645435,17,
65709,139262,
661101,17,
670390,17,
671139,283,
671237,17,
691292,1029338,
691292,1365315,
691292,1365682,
